chart_position,artist,title
1,taylor swift,all too well (taylor's version)
2,adele,easy on me
3,the kid laroi & justin bieber,stay
4,lil nas x & jack harlow,industry baby
5,silk sonic (bruno mars & anderson .paak),smokin out the window
6,ed sheeran,bad habits
7,ed sheeran,shivers
8,glass animals,heat waves
9,doja cat,need to know
10,walker hayes,fancy like
11,elton john & dua lipa,cold heart (pnau remix)
12,drake featuring future & young thug,way 2 sexy
13,olivia rodrigo,good 4 u
14,doja cat & the weeknd,you right
15,wizkid featuring justin bieber & tems,essence
16,maneskin,beggin'
17,dua lipa,levitating
18,taylor swift,state of grace (taylor's version)
19,post malone & the weeknd,one right now
20,juice wrld,already dead
21,doja cat featuring sza,kiss me more
22,taylor swift featuring chris stapleton,i bet you think about me (taylor's version) (from the vault)
23,silk sonic (bruno mars & anderson .paak),leave the door open
24,jason aldean & carrie underwood,if i didn't love you
25,taylor swift,red (taylor's version)
26,the weeknd & ariana grande,save your tears
27,drake featuring 21 savage & project pat,knife talk
28,the anxiety: willow & tyler cole,meet me at our spot
29,neiked x mae muller x polo g,better days
30,dustin lynch featuring lauren alaina or mackenzie porter,thinking 'bout you
31,drake featuring lil baby,girls want girls
32,luke combs,cold as you
33,justin bieber,ghost
34,ckay,love nwantiti (ah ah ah)
35,ryan hurd with maren morris,chasing after you
36,mariah carey,all i want for christmas is you
37,coldplay x bts,my universe
38,jordan davis featuring luke bryan,buy dirt
39,lil nas x,thats what i want
40,billie eilish,happier than ever
41,farruko,pepas
42,chris stapleton,you should probably leave
43,taylor swift featuring phoebe bridgers,nothing new (taylor's version) (from the vault)
44,"nardo wick featuring g herbo, lil durk & 21 savage",who want smoke??
45,taylor swift,message in a bottle (taylor's version) (from the vault)
46,taylor swift,i knew you were trouble (taylor's version)
47,taylor swift featuring ed sheeran,run (taylor's version) (from the vault)
48,lil nas x,montero (call me by your name)
49,polo g,bad man (smooth criminal)
50,zac brown band,same boat
51,taylor swift,better man (taylor's version) (from the vault)
52,taylor swift,22 (taylor's version)
53,luke combs,doin' this
54,taylor swift,treacherous (taylor's version)
55,taylor swift,we are never ever getting back together (taylor's version)
56,summer walker & sza,no love
57,normani featuring cardi b,wild side
58,chloe,have mercy
59,taylor swift,i almost do (taylor's version)
60,blxst & tyga featuring ty dolla $ign,chosen
61,taylor swift,the very first night (taylor's version) (from the vault)
62,baby keem & kendrick lamar,family ties
63,taylor swift featuring ed sheeran,everything has changed (taylor's version)
64,morgan wallen,sand in my boots
65,capella grey,gyalis
66,taylor swift featuring gary lightbody of snow patrol,the last time (taylor's version)
67,taylor swift,stay stay stay (taylor's version)
68,silk sonic (bruno mars & anderson .paak) with thundercat & bootsy collins,after last night
69,taylor swift,babe (taylor's version) (from the vault)
70,meek mill featuring lil baby & lil durk,sharing locations
71,travis scott,escape plan
72,kane brown,one mississippi
73,silk sonic (bruno mars & anderson .paak),blast off
74,kenny chesney,knowing you
75,silk sonic (bruno mars & anderson .paak),skate
76,taylor swift,holy ground (taylor's version)
77,taylor swift,begin again (taylor's version)
78,silk sonic (bruno mars & anderson .paak),put on a smile
79,taylor swift,forever winter (taylor's version) (from the vault)
80,michael ray,whiskey and rain
81,silk sonic (bruno mars & anderson .paak),fly as me
82,kodak black,super gremlin
83,taylor swift,the moment i knew (taylor's version)
84,taylor swift,the lucky one (taylor's version)
85,taylor swift,sad beautiful tragic (taylor's version)
86,drake featuring travis scott,fair trade
87,taylor swift,come back...be here (taylor's version)
88,amaarae & moliy featuring kali uchis,sad girlz luv money
89,jon pardi,tequila little time
90,taylor swift,starlight (taylor's version)
91,young thug with drake & travis scott,bubbly
92,summer walker & jt,ex for a reason
93,jimmie allen & brad paisley,freedom was a highway
94,rosalia featuring the weeknd,la fama
95,latto,big energy
96,swedish house mafia & the weeknd,moth to a flame
97,cody johnson,'til you can't
98,doja cat,woman
99,the weeknd,take my breath
100,giveon,for tonight
